hours_elapsed,surface_pct,beached_pct,evaporated_pct,dispersed_pct
0,100.0,0.0,0.0,0.0
1,95.05,0.0,4.95,0.0
2,82.02,0.0,17.98,0.0
3,80.5,0.0,19.5,0.0
4,80.34,0.0,19.66,0.0
5,80.21,0.0,19.79,0.0
6,80.09,0.0,19.91,0.0
7,79.98,0.0,20.02,0.0
8,79.88,0.0,20.12,0.0
9,79.79,0.0,20.21,0.0
10,79.7,0.0,20.3,0.0
11,79.62,0.0,20.38,0.0
12,79.54,0.0,20.46,0.0
13,79.47,0.0,20.53,0.0
14,79.39,0.0,20.61,0.0
15,79.3,0.0,20.7,0.0
16,79.19,0.0,20.81,0.0
17,79.07,0.0,20.93,0.0
18,78.94,0.0,21.06,0.0
19,78.8,0.0,21.2,0.0
20,78.66,0.0,21.34,0.0
21,78.52,0.0,21.48,0.0
22,78.39,0.0,21.61,0.0
23,78.27,0.0,21.73,0.0
24,78.15,0.0,21.85,0.0
25,78.03,0.0,21.97,0.0
26,77.91,0.0,22.09,0.0
27,77.79,0.0,22.21,0.0
28,77.67,0.0,22.33,0.0
29,77.55,0.0,22.45,0.0
30,77.43,0.0,22.57,0.0
31,77.31,0.0,22.69,0.0
32,77.2,0.0,22.8,0.0
33,77.09,0.0,22.91,0.0
34,76.99,0.0,23.01,0.0
35,76.91,0.0,23.09,0.0
36,76.82,0.0,23.18,0.0
37,76.74,0.0,23.26,0.0
38,76.67,0.0,23.33,0.0
39,76.59,0.0,23.41,0.0
40,76.52,0.0,23.48,0.0
41,76.45,0.0,23.55,0.0
42,76.37,0.0,23.63,0.0
43,76.3,0.0,23.7,0.0
44,76.22,0.0,23.78,0.0
45,76.15,0.0,23.85,0.0
46,76.07,0.0,23.93,0.0
47,76.0,0.0,24.0,0.0
48,75.93,0.0,24.07,0.0
49,75.87,0.0,24.13,0.0
50,75.81,0.0,24.19,0.0
51,75.75,0.0,24.25,0.0
52,75.7,0.0,24.3,0.0
53,75.64,0.0,24.36,0.0
54,75.58,0.0,24.42,0.0
55,75.53,0.0,24.47,0.0
56,75.47,0.0,24.53,0.0
57,75.42,0.0,24.58,0.0
58,75.37,0.0,24.63,0.0
59,75.32,0.0,24.67,0.0
60,75.28,0.0,24.72,0.0
61,75.24,0.0,24.76,0.0
62,75.2,0.0,24.8,0.0
63,75.17,0.0,24.83,0.0
64,75.13,0.0,24.87,0.0
65,75.1,0.0,24.9,0.0
66,75.06,0.0,24.94,0.0
67,75.03,0.0,24.97,0.0
68,74.99,0.0,25.01,0.0
69,74.96,0.0,25.04,0.0
70,74.93,0.0,25.07,0.0
71,74.9,0.0,25.1,0.0
72,74.87,0.0,25.13,0.0
