hours_elapsed,surface_pct,beached_pct,evaporated_pct,dispersed_pct
0,100.0,0.0,0.0,0.0
1,74.31,0.0,25.63,0.05
2,55.59,0.0,41.05,3.35
3,49.94,0.0,42.77,7.28
4,46.11,0.0,42.28,11.61
5,42.58,0.0,40.67,16.76
6,38.82,0.0,38.24,22.94
7,34.62,0.0,35.02,30.36
8,31.42,0.0,32.48,36.1
9,28.81,0.0,30.38,40.81
10,26.66,0.0,28.61,44.73
11,24.97,0.0,27.21,47.83
12,23.67,0.0,26.15,50.18
13,22.68,0.0,25.36,51.96
14,21.34,0.0,24.13,54.53
15,19.68,0.0,22.48,57.84
16,17.61,0.0,20.3,62.09
17,15.1,0.0,17.53,67.37
18,12.07,0.0,14.1,73.82
19,8.44,0.0,9.92,81.64
20,5.38,0.0,6.34,88.28
21,2.59,0.0,3.06,94.35
22,0.05,0.0,0.06,99.88
23,0.0,0.0,0.0,100.0
24,0.0,0.0,0.0,100.0
25,0.0,0.0,0.0,100.0
26,0.0,0.0,0.0,100.0
27,0.0,0.0,0.0,100.0
28,0.0,0.0,0.0,100.0
29,0.0,0.0,0.0,100.0
30,0.0,0.0,0.0,100.0
31,0.0,0.0,0.0,100.0
32,0.0,0.0,0.0,100.0
33,0.0,0.0,0.0,100.0
34,0.0,0.0,0.0,100.0
35,0.0,0.0,0.0,100.0
36,0.0,0.0,0.0,100.0
37,0.0,0.0,0.0,100.0
38,0.0,0.0,0.0,100.0
39,0.0,0.0,0.0,100.0
40,0.0,0.0,0.0,100.0
41,0.0,0.0,0.0,100.0
42,0.0,0.0,0.0,100.0
43,0.0,0.0,0.0,100.0
44,0.0,0.0,0.0,100.0
45,0.0,0.0,0.0,100.0
46,0.0,0.0,0.0,100.0
47,0.0,0.0,0.0,100.0
48,0.0,0.0,0.0,100.0
49,0.0,0.0,0.0,100.0
50,0.0,0.0,0.0,100.0
51,0.0,0.0,0.0,100.0
52,0.0,0.0,0.0,100.0
53,0.0,0.0,0.0,100.0
54,0.0,0.0,0.0,100.0
55,0.0,0.0,0.0,100.0
56,0.0,0.0,0.0,100.0
57,0.0,0.0,0.0,100.0
58,0.0,0.0,0.0,100.0
59,0.0,0.0,0.0,100.0
60,0.0,0.0,0.0,100.0
61,0.0,0.0,0.0,100.0
62,0.0,0.0,0.0,100.0
63,0.0,0.0,0.0,100.0
64,0.0,0.0,0.0,100.0
65,0.0,0.0,0.0,100.0
66,0.0,0.0,0.0,100.0
67,0.0,0.0,0.0,100.0
68,0.0,0.0,0.0,100.0
69,0.0,0.0,0.0,100.0
70,0.0,0.0,0.0,100.0
71,0.0,0.0,0.0,100.0
72,0.0,0.0,0.0,100.0
