workflow_mode,store_scope,month_key,source_id,status,path,chunk_start_utc,chunk_end_utc,row_count,staged_from_legacy_path,source_system,source_tier
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201601,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201601.csv,2016-01-01T00:00:00+00:00,2016-01-31T23:59:59+00:00,226,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201602,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201602.csv,2016-02-01T00:00:00+00:00,2016-02-29T23:59:59+00:00,313,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201603,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201603.csv,2016-03-01T00:00:00+00:00,2016-03-31T23:59:59+00:00,348,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201604,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201604.csv,2016-04-01T00:00:00+00:00,2016-04-30T23:59:59+00:00,161,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201605,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201605.csv,2016-05-01T00:00:00+00:00,2016-05-31T23:59:59+00:00,285,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201606,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201606.csv,2016-06-01T00:00:00+00:00,2016-06-30T23:59:59+00:00,330,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201607,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201607.csv,2016-07-01T00:00:00+00:00,2016-07-31T23:59:59+00:00,395,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201608,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201608.csv,2016-08-01T00:00:00+00:00,2016-08-31T23:59:59+00:00,480,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201609,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201609.csv,2016-09-01T00:00:00+00:00,2016-09-30T23:59:59+00:00,373,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201610,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201610.csv,2016-10-01T00:00:00+00:00,2016-10-31T23:59:59+00:00,155,,,
