time,hours_elapsed,surface_t,beached_t,evaporated_t,dispersed_t,surface_pct,beached_pct,evaporated_pct,dispersed_pct
2023-03-03 09:59:00,0,50.0131,0.0,0.0,0.0,100.03,0.0,0.0,0.0
2023-03-03 10:59:00,1,41.7762,0.0,7.7016,0.5223,83.55,0.0,15.4,1.04
2023-03-03 11:59:00,2,41.4735,0.0,8.376,0.1505,82.95,0.0,16.75,0.3
2023-03-03 12:59:00,3,41.2059,0.0,8.6451,0.149,82.41,0.0,17.29,0.3
2023-03-03 13:59:00,4,39.915,1.0393,8.8969,0.1489,79.83,2.08,17.79,0.3
2023-03-03 14:59:00,5,35.9131,3.7739,8.8799,1.4332,71.83,7.55,17.76,2.87
2023-03-03 15:59:00,6,34.0243,1.6935,8.1954,6.0868,68.05,3.39,16.39,12.17
2023-03-03 16:59:00,7,32.81,1.0404,7.9741,8.1754,65.62,2.08,15.95,16.35
2023-03-03 17:59:00,8,31.5817,1.0727,7.8811,9.4645,63.16,2.15,15.76,18.93
2023-03-03 18:59:00,9,30.6015,0.833,7.7625,10.8031,61.2,1.67,15.52,21.61
2023-03-03 19:59:00,10,29.8442,0.6105,7.6941,11.8512,59.69,1.22,15.39,23.7
2023-03-03 20:59:00,11,29.1495,0.5477,7.6779,12.6249,58.3,1.1,15.36,25.25
2023-03-03 21:59:00,12,28.4018,0.6105,7.6696,13.3182,56.8,1.22,15.34,26.64
2023-03-03 22:59:00,13,27.9146,0.3659,7.6224,14.097,55.83,0.73,15.24,28.19
2023-03-03 23:59:00,14,27.7748,0.0171,7.6364,14.5717,55.55,0.03,15.27,29.14
2023-03-04 00:59:00,15,27.6291,0.0,7.7543,14.6166,55.26,0.0,15.51,29.23
2023-03-04 01:59:00,16,27.3979,0.0,7.8955,14.7066,54.8,0.0,15.79,29.41
2023-03-04 02:59:00,17,26.8025,0.2956,8.0614,14.8405,53.6,0.59,16.12,29.68
2023-03-04 03:59:00,18,26.3074,0.1862,8.1394,15.367,52.61,0.37,16.28,30.73
2023-03-04 04:59:00,19,23.4429,2.5628,8.2449,15.7495,46.89,5.13,16.49,31.5
2023-03-04 05:59:00,20,18.5685,4.6289,7.5529,19.2497,37.14,9.26,15.11,38.5
2023-03-04 06:59:00,21,13.2748,5.1093,6.1528,25.463,26.55,10.22,12.31,50.93
2023-03-04 07:59:00,22,8.5626,4.5803,4.5326,32.3245,17.13,9.16,9.07,64.65
2023-03-04 08:59:00,23,5.9515,2.5289,3.0103,38.5092,11.9,5.06,6.02,77.02
2023-03-04 09:59:00,24,4.7162,1.1878,2.1476,41.9484,9.43,2.38,4.3,83.9
2023-03-04 10:59:00,25,3.8264,0.886,1.7263,43.5613,7.65,1.77,3.45,87.12
2023-03-04 11:59:00,26,3.3227,0.5035,1.3952,44.7787,6.65,1.01,2.79,89.56
2023-03-04 12:59:00,27,2.5565,0.7661,1.2072,45.4702,5.11,1.53,2.41,90.94
2023-03-04 13:59:00,28,1.6345,0.9216,0.9293,46.5147,3.27,1.84,1.86,93.03
2023-03-04 14:59:00,29,0.9746,0.659,0.594,47.7724,1.95,1.32,1.19,95.54
2023-03-04 15:59:00,30,0.3134,0.66,0.3524,48.6742,0.63,1.32,0.7,97.35
2023-03-04 16:59:00,31,0.0,0.3131,0.1141,49.5728,0.0,0.63,0.23,99.15
