time,hours_elapsed,surface_t,beached_t,evaporated_t,dispersed_t,surface_pct,beached_pct,evaporated_pct,dispersed_pct
2023-03-03 09:59:00,0,50.344,0.0,0.0,0.0,100.69,0.0,0.0,0.0
2023-03-03 10:59:00,1,22.4966,0.0,23.2439,4.2595,44.99,0.0,46.49,8.52
2023-03-03 11:59:00,2,21.1459,0.0,28.3884,0.4657,42.29,0.0,56.78,0.93
2023-03-03 12:59:00,3,19.9699,0.0,29.5735,0.4566,39.94,0.0,59.15,0.91
2023-03-03 13:59:00,4,18.4026,0.4196,30.7237,0.4541,36.81,0.84,61.45,0.91
2023-03-03 14:59:00,5,15.8205,1.5053,30.957,1.7172,31.64,3.01,61.91,3.43
2023-03-03 15:59:00,6,14.2308,0.6288,28.8703,6.2701,28.46,1.26,57.74,12.54
2023-03-03 16:59:00,7,12.9305,0.4112,28.3967,8.2616,25.86,0.82,56.79,16.52
2023-03-03 17:59:00,8,11.7604,0.3489,28.2717,9.619,23.52,0.7,56.54,19.24
2023-03-03 18:59:00,9,10.725,0.2398,28.1174,10.9178,21.45,0.48,56.23,21.84
2023-03-03 19:59:00,10,9.7548,0.1608,28.1433,11.941,19.51,0.32,56.29,23.88
2023-03-03 20:59:00,11,8.7988,0.1381,28.3639,12.6992,17.6,0.28,56.73,25.4
2023-03-03 21:59:00,12,7.9016,0.111,28.5832,13.4043,15.8,0.22,57.17,26.81
2023-03-03 22:59:00,13,7.1266,0.0559,28.6861,14.1315,14.25,0.11,57.37,28.26
2023-03-03 23:59:00,14,6.3887,0.0003,28.9847,14.6263,12.78,0.0,57.97,29.25
2023-03-04 00:59:00,15,5.6141,0.0,29.7132,14.6727,11.23,0.0,59.43,29.35
2023-03-04 01:59:00,16,4.7598,0.0,30.5189,14.7213,9.52,0.0,61.04,29.44
2023-03-04 02:59:00,17,3.8471,0.0203,31.3908,14.7418,7.69,0.04,62.78,29.48
2023-03-04 03:59:00,18,2.9998,0.0099,31.8977,15.0926,6.0,0.02,63.8,30.19
2023-03-04 04:59:00,19,2.0714,0.189,32.4448,15.2948,4.14,0.38,64.89,30.59
2023-03-04 05:59:00,20,1.2172,0.3232,29.7305,18.7291,2.43,0.65,59.46,37.46
2023-03-04 06:59:00,21,0.6677,0.2401,24.1355,24.9567,1.34,0.48,48.27,49.91
2023-03-04 07:59:00,22,0.3264,0.1957,17.793,31.685,0.65,0.39,35.59,63.37
2023-03-04 08:59:00,23,0.1891,0.0886,11.7033,38.019,0.38,0.18,23.41,76.04
2023-03-04 09:59:00,24,0.1392,0.0362,8.1897,41.6349,0.28,0.07,16.38,83.27
2023-03-04 10:59:00,25,0.1135,0.0254,6.5065,43.3546,0.23,0.05,13.01,86.71
2023-03-04 11:59:00,26,0.0996,0.0138,5.26,44.6265,0.2,0.03,10.52,89.25
2023-03-04 12:59:00,27,0.0748,0.0248,4.5849,45.3155,0.15,0.05,9.17,90.63
2023-03-04 13:59:00,28,0.0476,0.0272,3.5022,46.423,0.1,0.05,7.0,92.85
2023-03-04 14:59:00,29,0.0281,0.0194,2.2085,47.744,0.06,0.04,4.42,95.49
2023-03-04 15:59:00,30,0.0098,0.0181,1.285,48.687,0.02,0.04,2.57,97.37
2023-03-04 16:59:00,31,0.0,0.0098,0.4306,49.5595,0.0,0.02,0.86,99.12
